,Bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
72,CJ Anderson,,,,,,,9.894736842105264,8.25,,9.272727272727273,3,,
73,CJ Jordan,,,,,,,,,8.81767955801105,8.571428571428571,2,,
74,CJ McKay,,,,,8.571428571428571,,,,,,1,,
75,CK Kapugedera,17.29411764705882,,,,,,,,,,1,,
76,CK Langeveldt,,3.599999999999999,7.885714285714286,7.885714285714286,,,,,,,3,,
77,CL White,20.57142857142857,,16.28571428571428,,8.100000000000001,8.0,,,,,4,,
78,CR Brathwaite,,,,,,,,,8.055944055944057,10.57894736842105,2,,
79,CR Woakes,,,,,,,,,,8.482014388489208,1,,
80,CRD Fernando,7.6875,,7.041322314049587,,,,,,,,2,,
81,D du Preez,,7.813953488372094,,,,,,,,,1,,
82,D Kalyankrishna,10.56,,,,,,,,,,1,,
83,D Salunkhe,9.411764705882353,,,,,,,,,,1,,
84,D Wiese,,,,,,,,8.244274809160306,10.88888888888889,,2,,
85,DAJ Bracewell,,,,,7.68,,,,,,1,,
86,DB Ravi Teja,9.5,,,9.0,,,,,,,2,,
87,DE Bollinger,,,6.621761658031088,7.0,8.495575221238937,,,,,,3,,
88,DJ Bravo,7.922651933701659,7.535545023696682,8.555555555555555,7.395348837209302,7.801652892561984,7.729591836734693,,8.185185185185185,8.655172413793103,,8,,
89,DJ Harris,,,,,8.666666666666666,,,,,,1,,
90,DJ Hooda,,,,,,,,8.103092783505154,7.275,10.5,3,18.878092783505153,12.526855670103092
91,DJ Hussey,10.17721518987342,8.16,8.100000000000001,12.66666666666667,7.30909090909091,8.205882352941178,12.66666666666667,,,,7,,
92,DJ Muthuswami,,,,,,,,7.714285714285715,,,1,,
93,DJ Thornely,5.454545454545454,,,,,,,,,,1,,
94,DJG Sammy,,,,,,7.347826086956522,10.84090909090909,8.666666666666666,,,3,,
95,DL Chahar,,,,,,,,,7.636363636363637,10.22727272727273,2,,
96,DL Vettori,6.75,7.914893617021276,8.166666666666668,6.057692307692307,6.820754716981133,,,,,,5,,
97,DNT Zoysa,8.695652173913043,,,,,,,,,,1,,
98,DP Nannes,,7.199999999999998,6.467889908256881,7.44,,7.857142857142859,,,,,4,,
99,DP Vijaykumar,7.735849056603773,,,,,,,,,,1,,
100,DR Smith,7.217391304347826,9.035294117647059,9.391304347826088,,7.443037974683544,11.0625,9.580645161290322,8.5,8.176991150442477,11.04878048780488,9,20.35991797971077,15.815950787826461
101,DS Kulkarni,7.523316062176167,7.8375,9.600000000000001,7.428571428571429,7.245283018867925,7.714285714285715,7.83815028901734,7.873303167420815,7.373737373737374,8.796610169491526,10,18.179243930988697,14.907546358593219
102,DT Christian,,,,7.360824742268043,8.520710059171597,8.842105263157894,,,,7.301204819277109,4,,
103,DW Steyn,6.437246963562753,6.305084745762712,6.518324607329843,6.377622377622377,6.020761245674742,5.788235294117647,7.736842105263158,8.844827586206897,7.846153846153847,,9,,
104,F du Plessis,,,,,16.0,,,,,,1,,
105,FH Edwards,,6.4,,,,,,,,,1,,
106,FY Fazal,,,10.0,,,,,,,,1,,
107,Gagandeep Singh,10.14285714285714,,,,,,,,,,1,,
108,GB Hogg,,,,,7.145454545454546,8.857142857142858,,6.992125984251968,8.816326530612246,,4,,
109,GD McGrath,6.674772036474164,,,,,,,,,,1,,
110,GH Vihari,,,,,,6.324324324324324,,,,,1,,
111,GJ Maxwell,,,,,6.947368421052633,12.0,11.4,9.238095238095239,8.836363636363636,6.57391304347826,6,20.265763222284964,14.559457933370979
112,GR Napier,,7.0,,,,,,,,,1,,
113,GS Sandhu,,,,,,,,10.75,,,1,,
114,Gurkeerat Singh,,,,,,,,7.071428571428571,7.153846153846153,,2,,
115,Harbhajan Singh,8.129032258064516,6.08955223880597,6.916167664670657,6.823170731707318,6.967164179104479,6.502325581395349,6.517857142857141,7.702005730659025,8.040000000000001,6.534412955465587,10,17.920143382480887,14.752086029488533
116,Harmeet Singh,,8.366197183098592,7.033112582781457,7.227272727272727,8.340425531914894,7.521126760563381,,,,,5,,
117,Harmeet Singh (2),,,,,,8.16,,,,,1,,
118,HH Pandya,,,,,,,,9.981308411214954,8.773584905660378,8.11111111111111,3,21.458597020579035,14.075158212347421
119,HV Patel,,,,,8.481927710843374,,9.971830985915492,7.477941176470588,9.8,10.32,5,20.71794117647059,14.430764705882353
120,I Malhotra,,,,23.0,,,,,,,1,,
121,I Sharma,7.849624060150376,6.733333333333333,9.075,7.069090909090909,,7.55614973262032,8.911764705882353,10.85393258426966,9.34020618556701,10.0,9,23.527472103170002,17.716483261902003
122,IC Pandey,,,,,,12.0,7.788235294117647,7.238095238095237,,,3,,
123,IK Pathan,6.446428571428571,7.605095541401274,9.0,7.354166666666666,7.819672131147541,7.447619047619048,8.708333333333332,,7.625,13.0,9,,
124,Imran Tahir,,,,,,,8.061068702290076,8.590909090909092,8.721649484536082,7.762237762237763,4,19.89997116285776,13.539982697714658
125,Iqbal Abdulla,7.333333333333334,,7.294117647058822,6.157377049180328,6.582089552238806,7.539823008849558,9.0,7.438016528925621,8.361290322580645,9.705882352941178,9,19.034600969153324,15.020760581491993
126,J Botha,,6.08,,6.63013698630137,7.266932270916335,6.705882352941177,,7.935483870967741,,,5,,
127,J Suchith,,,,,,,,8.485355648535565,13.28571428571429,,2,,
128,J Syed Mohammad,,,,8.43956043956044,9.209302325581396,8.903225806451612,,,,,3,,
129,J Theron,,,7.746835443037975,,7.764705882352942,,,9.461538461538462,,,3,,
130,J Yadav,,,,,,,,4.142857142857142,7.211538461538462,6.972972972972972,3,13.678719928719929,9.407231957231957
131,JA Morkel,8.01290322580645,7.951807228915663,8.338983050847459,8.357142857142858,7.466666666666666,6.724832214765101,7.544554455445543,9.162162162162161,11.64705882352941,,9,,
132,Jaskaran Singh,,10.10526315789474,9.26086956521739,,,,,,,,2,,
133,JD Ryder,,6.980769230769232,,7.595744680851064,10.32558139534884,,,,,,3,,
134,JD Unadkat,,,8.225806451612902,8.162162162162163,10.66666666666667,7.48494983277592,8.825396825396826,10.0,15.47368421052631,7.096774193548388,8,27.83927560837577,19.903565365025464
135,JDP Oram,8.94,8.872340425531915,,11.5,,6.461538461538462,,,,,4,,
136,JDS Neesham,,,,,,,10.10526315789474,,,,1,,
137,JE Taylor,,,,8.213114754098362,,,,,,,1,,
138,JEC Franklin,,,,9.428571428571429,8.217391304347826,,,,,,2,,
139,JH Kallis,9.156398104265403,7.515570934256056,8.297142857142857,6.8,7.321428571428572,7.422492401215806,8.64179104477612,,,,7,,
140,JJ Bumrah,,,,,,9.866666666666667,7.487804878048781,11.26530612244898,7.695652173913043,7.319034852546917,5,21.40063658054433,14.840381948326598
141,JJ van der Wath,,,,10.57894736842105,,,,,,,1,,
142,JM Kemp,,,7.404255319148936,,,,,,,,1,,
143,JO Holder,,,,,,8.303999999999998,10.5,,7.590361445783132,,3,,
144,Joginder Sharma,9.151898734177214,7.953488372093022,10.47058823529412,10.2,,,,,,,4,,
145,JP Duminy,,5.383177570093458,6.727272727272727,8.054054054054054,8.0,,7.117647058823529,7.177570093457943,7.674418604651163,,7,,
