,Bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
306,SMSM Senanayake,,,,,,6.492307692307693,,,,,1,,
307,SN Thakur,,,,,,,,11.7,,8.00836820083682,2,,
308,Sohail Tanvir,6.226415094339623,,,,,,,,,,1,,
309,SP Narine,,,,,5.579831932773109,5.472868217054264,6.612244897959183,7.530612244897959,7.099236641221375,6.828729281767955,6,16.906091980041985,12.543655188025191
310,SPD Smith,,,,,15.0,,,,,,1,,
311,SR Tendulkar,,9.567567567567567,,,,,,,,,1,,
312,SR Watson,6.88953488372093,,7.985611510791366,6.584070796460177,6.875,7.4765625,7.567164179104477,8.487046632124352,8.166666666666668,8.945454545454545,9,19.6355314806092,15.381318888365518
313,SS Agarwal,,,,,,,,,,10.5,1,,
314,SS Mundhe,,,,5.142857142857142,,,,,,,1,,
315,SS Sarkar,,8.16,,,,,,,,,1,,
316,ST Jayasuriya,7.700787401574803,8.319327731092436,7.418181818181818,,,,,,,,3,,
317,STR Binny,,,9.0,10.56,7.800000000000002,6.563758389261745,7.222222222222222,7.210084033613446,7.730769230769232,8.108108108108109,8,17.64355596708538,13.786133580251228
318,Sunny Gupta,,,,,14.84210526315789,,,,,,1,,
319,SW Tait,,,8.019512195121951,8.058823529411764,5.885350318471337,8.82857142857143,,,,,4,,
320,Swapnil Singh,,,,,,,,,9.666666666666668,8.511627906976745,2,,
321,T Henderson,,6.833333333333332,,,,,,,,,1,,
322,T Natarajan,,,,,,,,,,8.487804878048781,1,,
323,T Shamsi,,,,,,,,,9.4375,,1,,
324,T Thushara,,7.32,6.574468085106384,,,,,,,,2,,
325,TA Boult,,,,,,,,7.922651933701659,9.0,9.0,3,19.92265193370166,13.153591160220994
326,Tejas Baroka,,,,,,,,,,9.428571428571429,1,,
327,TG Southee,,,,8.42016806722689,,,7.428571428571429,8.742857142857142,7.455223880597016,8.818181818181818,5,19.137474962848096,13.482484977708856
328,TL Suman,,7.12087912087912,11.07692307692308,8.333333333333332,,8.0,,,,,4,,
329,TM Dilshan,3.0,6.1875,8.571428571428571,8.756756756756756,10.63636363636364,10.0,,,,,6,,
330,TM Head,,,,,,,,,,10.125,1,,
331,TP Sudhindra,,,,,11.10810810810811,,,,,,1,,
332,TS Mills,,,,,,,,,,8.486486486486486,1,,
333,Umar Gul,7.764705882352942,,,,,,,,,,1,,
334,UT Yadav,,,7.578947368421052,9.132743362831858,7.190600522193212,8.666666666666666,8.07773851590106,8.729323308270676,9.05521472392638,8.526315789473685,8,20.62664329535495,15.57598597721297
335,V Kohli,7.591836734693878,7.076923076923078,9.272727272727273,7.924528301886792,16.33333333333334,,,5.454545454545454,9.75,,7,,
336,V Pratap Singh,,,,,8.530805687203792,,,,,,1,,
337,V Sehwag,12.0,21.42857142857143,4.058823529411764,,11.25,9.0,,,,,5,,
338,V Shankar,,,,,,,19.0,,,,1,,
339,VR Aaron,,,,6.467532467532468,8.71875,,7.789915966386554,9.557522123893806,8.864516129032259,7.906976744186046,6,21.057697167654748,15.034618300592848
340,VRV Singh,8.614864864864865,9.222222222222221,11.71428571428571,,,,,,,,3,,
341,VS Malik,,8.108108108108109,8.608695652173912,7.0,,5.80327868852459,9.157894736842106,,,,5,,
342,VS Yeligati,11.4375,,,,,,,,,,1,,
343,VY Mahesh,8.571428571428571,11.53846153846154,7.263157894736842,,8.163934426229508,,,,,,4,,
344,WA Mota,10.8,6.763636363636364,,,,,,,,,2,,
345,Washington Sundar,,,,,,,,,,6.230769230769232,1,,
346,WD Parnell,,,,7.23913043478261,6.138461538461539,8.721649484536082,7.421052631578948,,,,4,,
347,WPUJC Vaas,8.504854368932039,8.192307692307693,6.631578947368421,,,,,,,,3,,
348,Y Gnaneswara Rao,,,,7.0,,,,,,,1,,
349,Y Nagar,,9.230769230769232,9.333333333333334,11.82352941176471,8.571428571428571,,,,,,4,,
350,Y Venugopal Rao,9.340909090909092,8.021739130434781,10.0,13.0,13.0,,8.0,,,,6,,
351,YA Abdulla,,8.133333333333333,9.571428571428573,,,,,,,,2,,
352,YK Pathan,8.223529411764705,6.733031674208145,7.121495327102805,6.074688796680498,8.05839416058394,8.072727272727272,10.0,10.0,5.210526315789474,10.25,10,18.62719298245614,15.176315789473685
353,YS Chahal,,,,,,8.75,7.00900900900901,8.819787985865725,7.967532467532468,7.771217712177121,5,19.377726357457234,13.62663581447434
354,Yuvraj Singh,9.107142857142858,7.041322314049587,6.690647482014387,6.617142857142857,,6.857142857142857,8.185714285714287,8.181818181818182,8.210526315789474,11.5,9,20.225677830940988,15.735406698564594
355,Z Khan,8.58139534883721,6.545454545454545,7.891525423728814,7.4798927613941,7.589189189189189,7.421052631578948,6.782608695652174,6.15483870967742,7.549815498154983,7.878048780487804,10,16.330670467995002,13.798402280797001
356,Grand Total,857.361080215988,861.4461956600627,1045.2861477264814,1141.2656088155927,1113.3366870812813,1037.8215112540613,869.6994344791992,836.8811038223772,887.2757424592181,947.0787899607573,10,2039.8497762685145,1227.9098657611087
