Row Labels,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
CK Langeveldt,5.873333333333333,4.0,8.16,8.333333333333332,5.873333333333333,5.873333333333333,5.873333333333333,5.873333333333333,5.873333333333333,5.873333333333333,3,14.126666666666669,9.676000000000002
CR Brathwaite,8.131578947368421,8.131578947368421,8.131578947368421,8.131578947368421,8.131578947368421,8.131578947368421,8.131578947368421,8.131578947368421,7.894736842105264,14.5,2,9.824561403508772,6.694736842105263
CR Woakes,5.320224719101123,5.320224719101123,5.320224719101123,5.320224719101123,5.320224719101123,5.320224719101123,5.320224719101123,5.320224719101123,5.320224719101123,9.640449438202246,1,13.239700374531836,8.343820224719101
CRD Fernando,10.0,6.242424242424242,6.727272727272727,6.242424242424242,6.242424242424242,6.242424242424242,6.242424242424242,6.242424242424242,6.242424242424242,6.242424242424242,2,13.757575757575758,9.054545454545455
D du Preez,7.357142857142855,13.71428571428571,7.357142857142855,7.357142857142855,7.357142857142855,7.357142857142855,7.357142857142855,7.357142857142855,7.357142857142855,7.357142857142855,1,12.642857142857146,7.9857142857142875
D Kalyankrishna,17.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1,11.0,7.0
D Salunkhe,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,16.0,10.0
D Wiese,7.4055829228243,7.4055829228243,7.4055829228243,7.4055829228243,7.4055829228243,7.4055829228243,7.4055829228243,9.931034482758621,10.28571428571428,7.4055829228243,2,10.792556102900933,7.27553366174056
DAJ Bracewell,5.5,5.5,5.5,5.5,10.0,5.5,5.5,5.5,5.5,5.5,1,14.5,9.1
DE Bollinger,6.586642335766423,6.586642335766423,9.04,6.306569343065694,8.0,6.586642335766423,6.586642335766423,6.586642335766423,6.586642335766423,6.586642335766423,3,13.413357664233576,9.248014598540147
DJ Bravo,9.923076923076923,7.963636363636365,10.42105263157895,12.5,8.564885496183207,7.36480686695279,9.342762200455873,8.575471698113208,10.7719298245614,9.342762200455873,8,10.43661209228984,9.461967255373903
DJ Harris,5.5,5.5,5.5,5.5,10.0,5.5,5.5,5.5,5.5,5.5,1,14.5,9.1
DJ Hooda,6.03846153846154,6.03846153846154,6.03846153846154,6.03846153846154,6.03846153846154,6.03846153846154,6.03846153846154,11.07692307692308,6.03846153846154,6.03846153846154,1,12.282051282051281,7.769230769230768
DJ Hussey,13.38461538461539,10.77948717948718,10.77948717948718,10.77948717948718,10.0,13.84615384615384,12.66666666666667,10.77948717948718,10.77948717948718,10.77948717948718,4,9.220512820512818,7.132307692307691
DJ Muthuswami,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,19.0,11.8
DJG Sammy,9.001831501831504,9.001831501831504,9.001831501831504,9.001831501831504,9.001831501831504,10.92857142857143,14.07692307692308,9.001831501831504,9.001831501831504,9.001831501831504,2,10.998168498168496,7.3989010989010975
DL Vettori,6.333333333333334,10.25806451612903,7.071428571428571,7.5,8.594594594594595,7.459570169247589,7.459570169247589,7.459570169247589,7.459570169247589,7.459570169247589,5,12.540429830752412,9.524257898451447
DNT Zoysa,10.2,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,1,14.400000000000002,9.040000000000001
DP Nannes,7.566952623980123,8.480769230769232,7.974683544303797,6.0,7.566952623980123,11.37931034482759,7.566952623980123,7.566952623980123,7.566952623980123,7.566952623980123,4,12.433047376019875,9.059828425611926
DP Vijaykumar,10.64516129032258,5.82258064516129,5.82258064516129,5.82258064516129,5.82258064516129,5.82258064516129,5.82258064516129,5.82258064516129,5.82258064516129,5.82258064516129,1,14.177419354838708,8.906451612903226
DR Smith,10.28571428571428,10.0,8.399999999999999,12.031013431013427,8.0,10.28571428571428,16.61538461538461,12.031013431013427,21.0,15.69230769230769,8,3.758892958892961,5.455335775335777
DS Kulkarni,8.5,3.428571428571428,12.0,7.941176470588236,11.71428571428571,6.923076923076922,10.6530612244898,8.571428571428571,8.754098360655739,10.33333333333333,10,10.780379911527454,10.468227946916473
DT Christian,11.2807574491785,11.2807574491785,11.2807574491785,11.68421052631579,12.0,20.57142857142857,11.2807574491785,11.2807574491785,11.2807574491785,8.148148148148149,4,9.76344565116495,7.45806739069897
DW Steyn,5.764705882352941,7.894736842105264,7.263157894736842,7.912087912087913,8.350515463917525,6.936170212765957,9.142857142857142,9.36,7.847136816758176,7.847136816758176,8,11.64857545549455,10.18914527329673
F du Plessis,8.5,8.5,8.5,8.5,16.0,8.5,8.5,8.5,8.5,8.5,1,11.5,7.3
FH Edwards,5.053571428571429,9.107142857142858,5.053571428571429,5.053571428571429,5.053571428571429,5.053571428571429,5.053571428571429,5.053571428571429,5.053571428571429,5.053571428571429,1,14.946428571428571,9.367857142857144
FY Fazal,5.5,5.5,10.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,1,14.5,9.1
Gagandeep Singh,16.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,1,11.5,7.3
GB Hogg,7.853763440860215,7.853763440860215,7.853763440860215,7.853763440860215,7.935483870967741,12.0,7.853763440860215,7.333333333333334,8.0,7.853763440860215,4,12.270967741935483,8.96258064516129
GD McGrath,9.113924050632912,5.056962025316456,5.056962025316456,5.056962025316456,5.056962025316456,5.056962025316456,5.056962025316456,5.056962025316456,5.056962025316456,5.056962025316456,1,14.943037974683545,9.365822784810126
GJ Maxwell,4.56140350877193,4.56140350877193,4.56140350877193,4.56140350877193,4.56140350877193,6.0,4.56140350877193,4.56140350877193,4.56140350877193,5.684210526315789,2,15.064327485380117,9.83859649122807
GS Sandhu,6.75,6.75,6.75,6.75,6.75,6.75,6.75,12.5,6.75,6.75,1,11.333333333333334,7.2
Harbhajan Singh,8.210526315789474,6.774193548387098,6.638297872340425,6.952380952380953,11.0,9.31578947368421,9.4,8.643465351398017,11.5,8.643465351398017,8,10.404356432401322,9.442613859440794
Harmeet Singh,8.48734493797519,11.75,5.510204081632653,12.85714285714286,7.235294117647058,8.571428571428571,8.48734493797519,8.48734493797519,8.48734493797519,8.48734493797519,5,11.51265506202481,8.907593037214886
HH Pandya,8.374589371980676,8.374589371980676,8.374589371980676,8.374589371980676,8.374589371980676,8.374589371980676,8.374589371980676,14.88,8.444444444444445,7.173913043478261,3,9.833880837359098,7.10032850241546
HV Patel,10.552577719259746,10.552577719259746,10.552577719259746,10.552577719259746,10.83333333333333,10.552577719259746,13.44,8.816326530612246,11.2258064516129,14.0,5,8.652622339258285,7.191573403554971
I Sharma,9.925925925925926,9.642857142857142,10.92,10.57142857142857,11.079502945397682,9.576923076923077,4.0,12.0,15.15789473684211,20.0,9,4.280701754385964,6.168421052631578
IC Pandey,8.064102564102564,8.064102564102564,8.064102564102564,8.064102564102564,8.064102564102564,8.064102564102564,9.692307692307693,12.5,8.064102564102564,8.064102564102564,2,10.45726495726496,7.074358974358975
IK Pathan,7.125,8.417266187050359,11.20879120879121,9.580645161290322,10.83333333333333,11.8125,7.132075471698113,10.110961136216334,16.0,10.0,9,7.963012954594555,8.377807772756734
Imran Tahir,7.897131429215255,7.897131429215255,7.897131429215255,7.897131429215255,7.897131429215255,7.897131429215255,6.833333333333332,9.711340206185568,9.4,9.540983606557377,4,10.449225395752352,7.869535237451411
Iqbal Abdulla,7.974920428408801,7.974920428408801,5.5,7.813953488372094,8.0,9.818181818181818,7.974920428408801,7.153846153846153,11.53846153846154,7.974920428408801,6,11.110923959761168,9.0665543758567
J Botha,7.17974358974359,8.64,7.17974358974359,6.4,7.0,4.5,7.17974358974359,11.53846153846154,7.17974358974359,7.17974358974359,5,11.367350427350425,8.820410256410256
J Suchith,5.5,5.5,5.5,5.5,5.5,5.5,5.5,10.0,5.5,5.5,1,13.0,8.2
J Syed Mohammad,6.0,6.0,6.0,11.0,6.0,6.0,6.0,6.0,6.0,6.0,1,14.0,8.8
J Theron,7.8377662967215205,7.8377662967215205,7.701492537313432,7.8377662967215205,9.11111111111111,7.8377662967215205,7.8377662967215205,11.53846153846154,7.8377662967215205,7.8377662967215205,3,10.928668622698474,7.757201173619085
J Yadav,5.64285714285714,5.64285714285714,5.64285714285714,5.64285714285714,5.64285714285714,5.64285714285714,5.64285714285714,5.64285714285714,10.28571428571428,5.64285714285714,1,12.809523809523814,8.085714285714289
JA Morkel,8.905263157894737,9.818181818181818,8.82857142857143,10.63636363636364,7.902439024390244,6.631578947368421,8.979737345334266,10.66666666666667,9.428571428571429,8.979737345334266,8,10.308341519809211,9.385004911885527
Jaskaran Singh,10.37037037037037,16.0,13.11111111111111,10.37037037037037,10.37037037037037,10.37037037037037,10.37037037037037,10.37037037037037,10.37037037037037,10.37037037037037,2,9.62962962962963,6.5777777777777775
JD Ryder,9.285714285714286,13.0,9.285714285714286,12.85714285714286,9.285714285714286,9.285714285714286,9.285714285714286,9.285714285714286,9.285714285714286,9.285714285714286,2,10.714285714285714,7.228571428571428
JD Unadkat,10.648799859695787,10.648799859695787,9.857142857142858,9.230769230769232,11.0,8.375,12.62686567164179,10.648799859695787,18.85714285714286,8.243478260869566,7,7.416859674097262,7.250115804458358
JDP Oram,9.0,8.7,7.3,7.3,7.3,8.5,7.3,7.3,7.3,7.3,3,12.7,8.819999999999999
JE Taylor,5.933962264150945,5.933962264150945,5.933962264150945,10.86792452830189,5.933962264150945,5.933962264150945,5.933962264150945,5.933962264150945,5.933962264150945,5.933962264150945,1,14.066037735849054,8.839622641509433
JEC Franklin,7.333333333333333,7.333333333333333,7.333333333333333,11.0,9.0,7.333333333333333,7.333333333333333,7.333333333333333,7.333333333333333,7.333333333333333,2,12.666666666666668,8.4
JH Kallis,10.90909090909091,14.35714285714286,10.07142857142857,8.454545454545455,9.927272727272728,9.096774193548388,7.5,9.664531839128614,9.664531839128614,9.664531839128614,7,10.335468160871386,9.001280896522832
JJ Bumrah,9.601148259828006,9.601148259828006,9.601148259828006,9.601148259828006,9.601148259828006,9.75,8.930232558139535,16.125,9.295774647887324,8.505882352941176,5,8.691114333057167,7.2146685998343
JJ van der Wath,6.625,6.625,6.625,12.25,6.625,6.625,6.625,6.625,6.625,6.625,1,13.375,8.425
JM Kemp,3.5,3.5,6.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1,16.5,10.3
JO Holder,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,1,13.666666666666668,8.6
Joginder Sharma,11.18918918918919,10.297297297297298,10.0,17.0,10.297297297297298,10.297297297297298,10.297297297297298,10.297297297297298,10.297297297297298,10.297297297297298,3,9.702702702702702,7.021621621621621
JP Duminy,8.957142857142857,8.0,12.0,11.0,6.0,8.957142857142857,12.5,7.199999999999998,8.957142857142857,8.957142857142857,6,11.628571428571428,9.377142857142857
JP Faulkner,9.372811469988374,9.372811469988374,9.372811469988374,9.372811469988374,9.75,7.811320754716981,10.39285714285714,12.0,10.18181818181818,9.473684210526315,6,9.448165869218501,8.068899521531101
JR Hopes,13.4516129032258,8.170145477545855,8.170145477545855,9.058823529411764,8.170145477545855,8.170145477545855,8.170145477545855,8.170145477545855,8.170145477545855,8.170145477545855,2,11.829854522454145,7.897912713472488
JW Hastings,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,5.4,3.2,1,16.066666666666666,10.040000000000001
K Rabada,5.459183673469388,5.459183673469388,5.459183673469388,5.459183673469388,5.459183673469388,5.459183673469388,5.459183673469388,5.459183673469388,5.459183673469388,9.918367346938776,1,13.054421768707481,8.232653061224488
K Santokie,7.1,7.1,7.1,7.1,7.1,7.1,13.2,7.1,7.1,7.1,1,12.900000000000002,8.14
KA Pollard,11.138050253839728,11.138050253839728,8.68421052631579,9.5,7.615384615384614,9.942857142857143,12.0,9.0,17.5,18.0,8,5.166666666666666,6.3
KAJ Roach,7.44736842105263,7.44736842105263,13.89473684210526,7.44736842105263,7.44736842105263,7.44736842105263,7.44736842105263,7.44736842105263,7.44736842105263,7.44736842105263,1,12.55263157894737,7.931578947368422
Kamran Khan,5.416666666666666,9.833333333333332,5.416666666666666,5.416666666666666,5.416666666666666,5.416666666666666,5.416666666666666,5.416666666666666,5.416666666666666,5.416666666666666,1,14.583333333333332,9.15
Karanveer Singh,8.952380952380954,8.952380952380954,8.952380952380954,8.952380952380954,8.952380952380954,8.952380952380954,12.0,12.85714285714286,8.952380952380954,8.952380952380954,2,9.746031746031745,6.647619047619047
KC Cariappa,5.435897435897435,5.435897435897435,5.435897435897435,5.435897435897435,5.435897435897435,5.435897435897435,5.435897435897435,5.435897435897435,6.0,8.307692307692307,2,13.41880341880342,8.851282051282052
KH Pandya,5.583333333333333,5.583333333333333,5.583333333333333,5.583333333333333,5.583333333333333,5.583333333333333,5.583333333333333,5.583333333333333,8.25,6.5,2,13.222222222222221,8.733333333333333
KJ Abbott,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,12.72,6.86,1,11.186666666666666,7.111999999999999
KK Cooper,7.272222222222222,7.272222222222222,7.272222222222222,7.272222222222222,8.914285714285715,8.88888888888889,8.285714285714285,7.272222222222222,7.272222222222222,7.272222222222222,3,12.727777777777778,8.836666666666668
KMDN Kulasekara,3.7,3.7,3.7,3.7,6.4,3.7,3.7,3.7,3.7,3.7,1,16.3,10.180000000000001
KP Appanna,8.714285714285714,13.0,11.14285714285714,8.714285714285714,8.714285714285714,8.714285714285714,8.714285714285714,8.714285714285714,8.714285714285714,8.714285714285714,2,11.285714285714286,7.571428571428572
KP Pietersen,7.222222222222222,9.666666666666668,10.0,7.222222222222222,7.222222222222222,7.222222222222222,7.222222222222222,7.222222222222222,7.222222222222222,7.222222222222222,2,12.777777777777779,8.466666666666667
Kuldeep Yadav,6.023539302227827,6.023539302227827,6.023539302227827,6.023539302227827,6.023539302227827,6.023539302227827,6.023539302227827,6.023539302227827,6.923076923076922,9.147540983606557,2,12.6352809303629,8.381168558217741
KV Sharma,10.792869875222815,10.792869875222815,10.792869875222815,10.792869875222815,10.792869875222815,9.176470588235293,5.454545454545454,20.0,15.33333333333333,10.792869875222815,4,4.624598930481286,4.374759358288772
KW Richardson,8.795582047685834,8.795582047685834,8.795582047685834,8.795582047685834,8.795582047685834,10.95652173913043,11.2258064516129,8.795582047685834,10.0,8.795582047685834,3,10.802945301542778,7.681767180925666
L Ablish,4.8,4.8,4.399999999999999,8.0,4.8,4.8,4.8,4.8,4.8,4.8,2,15.2,9.919999999999998
L Balaji,9.677419354838708,9.702127659574467,12.15,9.48,5.692307692307692,11.92,10.97560975609756,9.574683057852303,9.574683057852303,9.574683057852303,7,10.425316942147697,9.055190165288618
LH Ferguson,5.807692307692305,5.807692307692305,5.807692307692305,5.807692307692305,5.807692307692305,5.807692307692305,5.807692307692305,5.807692307692305,5.807692307692305,10.61538461538461,1,12.589743589743595,7.953846153846158
LJ Wright,6.369565217391305,6.369565217391305,6.369565217391305,6.369565217391305,6.369565217391305,11.73913043478261,6.369565217391305,6.369565217391305,6.369565217391305,6.369565217391305,1,13.630434782608695,8.578260869565216
LMP Simmons,6.5,6.5,6.5,6.5,6.5,6.5,12.0,6.5,6.5,6.5,1,13.5,8.5
LPC Silva,21.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1,9.0,5.8
LR Shukla,8.823529411764707,10.0,9.5,7.464705882352942,5.0,7.464705882352942,7.464705882352942,7.464705882352942,7.464705882352942,7.464705882352942,4,12.535294117647059,9.121176470588235
M Ashwin,4.826923076923077,4.826923076923077,4.826923076923077,4.826923076923077,4.826923076923077,4.826923076923077,4.826923076923077,4.826923076923077,8.653846153846153,4.826923076923077,1,13.897435897435898,8.73846153846154
M de Lange,8.634615384615385,8.634615384615385,8.634615384615385,8.634615384615385,14.0,8.634615384615385,6.0,11.53846153846154,8.634615384615385,8.634615384615385,3,10.397435897435896,7.438461538461537
