Bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
CR Woakes,4.741007194244604,4.741007194244604,4.741007194244604,4.741007194244604,4.741007194244604,4.741007194244604,4.741007194244604,4.741007194244604,4.741007194244604,8.482014388489208,1,14.01199040767386,8.807194244604315
CRD Fernando,7.6875,5.576274104683196,7.041322314049587,5.576274104683196,5.576274104683196,5.576274104683196,5.576274104683196,5.576274104683196,5.576274104683196,5.576274104683196,2,14.423725895316803,9.454235537190081
D du Preez,4.406976744186046,7.813953488372094,4.406976744186046,4.406976744186046,4.406976744186046,4.406976744186046,4.406976744186046,4.406976744186046,4.406976744186046,4.406976744186046,1,15.593023255813954,9.755813953488373
D Kalyankrishna,10.56,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,1,14.219999999999999,8.931999999999999
D Salunkhe,9.411764705882353,5.205882352941177,5.205882352941177,5.205882352941177,5.205882352941177,5.205882352941177,5.205882352941177,5.205882352941177,5.205882352941177,5.205882352941177,1,14.794117647058822,9.276470588235293
D Wiese,7.044387899349732,7.044387899349732,7.044387899349732,7.044387899349732,7.044387899349732,7.044387899349732,7.044387899349732,8.244274809160306,10.88888888888889,7.044387899349732,2,11.274149467533691,7.564489680520215
DAJ Bracewell,4.34,4.34,4.34,4.34,7.68,4.34,4.34,4.34,4.34,4.34,1,15.66,9.796000000000001
DB Ravi Teja,9.5,6.833333333333333,6.833333333333333,9.0,6.833333333333333,6.833333333333333,6.833333333333333,6.833333333333333,6.833333333333333,6.833333333333333,2,13.166666666666668,8.7
DE Bollinger,6.279334219817506,6.279334219817506,6.621761658031088,7.0,8.495575221238937,6.279334219817506,6.279334219817506,6.279334219817506,6.279334219817506,6.279334219817506,3,13.720665780182493,9.432399468109496
DJ Bravo,7.922651933701659,7.535545023696682,8.555555555555555,7.395348837209302,7.801652892561984,7.729591836734693,7.975633742048684,8.185185185185185,8.655172413793103,7.975633742048684,8,11.728002886324342,10.236801731794605
DJ Harris,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,8.666666666666666,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,1,15.166666666666668,9.5
DJ Hooda,7.219523195876288,7.219523195876288,7.219523195876288,7.219523195876288,7.219523195876288,7.219523195876288,7.219523195876288,8.103092783505154,7.275,10.5,3,11.373969072164948,8.024381443298969
DJ Hussey,10.17721518987342,8.16,8.100000000000001,12.66666666666667,7.30909090909091,8.205882352941178,12.66666666666667,9.285690223154857,9.285690223154857,9.285690223154857,7,10.714309776845143,9.228585866107085
DJ Muthuswami,4.357142857142858,4.357142857142858,4.357142857142858,4.357142857142858,4.357142857142858,4.357142857142858,4.357142857142858,7.714285714285715,4.357142857142858,4.357142857142858,1,14.523809523809522,9.114285714285714
DJ Thornely,5.454545454545454,3.227272727272727,3.227272727272727,3.227272727272727,3.227272727272727,3.227272727272727,3.227272727272727,3.227272727272727,3.227272727272727,3.227272727272727,1,16.772727272727273,10.463636363636365
DJG Sammy,7.46385046113307,7.46385046113307,7.46385046113307,7.46385046113307,7.46385046113307,7.347826086956522,10.84090909090909,8.666666666666666,7.46385046113307,7.46385046113307,3,12.135210803689066,8.48112648221344
DL Chahar,6.621212121212122,6.621212121212122,6.621212121212122,6.621212121212122,6.621212121212122,6.621212121212122,6.621212121212122,6.621212121212122,7.636363636363637,10.22727272727273,2,11.838383838383837,7.903030303030303
DL Vettori,6.75,7.914893617021276,8.166666666666668,6.057692307692307,6.820754716981133,6.785001218060231,6.785001218060231,6.785001218060231,6.785001218060231,6.785001218060231,5,13.21499878193977,9.928999269163862
DNT Zoysa,8.695652173913043,4.8478260869565215,4.8478260869565215,4.8478260869565215,4.8478260869565215,4.8478260869565215,4.8478260869565215,4.8478260869565215,4.8478260869565215,4.8478260869565215,1,15.152173913043478,9.491304347826087
DP Nannes,6.593006553079948,7.199999999999998,6.467889908256881,7.44,6.593006553079948,7.857142857142859,6.593006553079948,6.593006553079948,6.593006553079948,6.593006553079948,4,13.406993446920051,9.64419606815203
DP Vijaykumar,7.735849056603773,4.367924528301886,4.367924528301886,4.367924528301886,4.367924528301886,4.367924528301886,4.367924528301886,4.367924528301886,4.367924528301886,4.367924528301886,1,15.632075471698114,9.779245283018868
DR Smith,7.217391304347826,9.035294117647059,9.391304347826088,9.045594454404219,7.443037974683544,11.0625,9.580645161290322,8.5,8.176991150442477,11.04878048780488,9,10.758076120584215,10.05484567235053
DS Kulkarni,7.523316062176167,7.8375,9.600000000000001,7.428571428571429,7.245283018867925,7.714285714285715,7.83815028901734,7.873303167420815,7.373737373737374,8.796610169491526,10,11.985449763116762,11.191269857870058
DT Christian,7.2049689767749285,7.2049689767749285,7.2049689767749285,7.360824742268043,8.520710059171597,8.842105263157894,7.2049689767749285,7.2049689767749285,7.2049689767749285,7.301204819277109,4,12.762952409057679,9.257771445434608
DW Steyn,6.437246963562753,6.305084745762712,6.518324607329843,6.377622377622377,6.020761245674742,5.788235294117647,7.736842105263158,8.844827586206897,7.846153846153847,7.087509877169397,9,12.073836230156619,10.844301738093971
F du Plessis,8.5,8.5,8.5,8.5,16.0,8.5,8.5,8.5,8.5,8.5,1,11.5,7.3
FH Edwards,3.7,6.4,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,1,16.3,10.180000000000001
FY Fazal,5.5,5.5,10.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,1,14.5,9.1
Gagandeep Singh,10.14285714285714,5.57142857142857,5.57142857142857,5.57142857142857,5.57142857142857,5.57142857142857,5.57142857142857,5.57142857142857,5.57142857142857,5.57142857142857,1,14.42857142857143,9.057142857142859
GB Hogg,7.162209983492323,7.162209983492323,7.162209983492323,7.162209983492323,7.145454545454546,8.857142857142858,7.162209983492323,6.992125984251968,8.816326530612246,7.162209983492323,4,12.343112500547821,9.005867500328694
GD McGrath,6.674772036474164,3.837386018237082,3.837386018237082,3.837386018237082,3.837386018237082,3.837386018237082,3.837386018237082,3.837386018237082,3.837386018237082,3.837386018237082,1,16.162613981762917,10.09756838905775
GH Vihari,3.662162162162162,3.662162162162162,3.662162162162162,3.662162162162162,3.662162162162162,6.324324324324324,3.662162162162162,3.662162162162162,3.662162162162162,3.662162162162162,1,16.33783783783784,10.202702702702704
GJ Maxwell,8.713677191284253,8.713677191284253,8.713677191284253,8.713677191284253,6.947368421052633,12.0,11.4,9.238095238095239,8.836363636363636,6.57391304347826,6,11.783876027354287,9.470325616412572
GR Napier,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,16.0,10.0
GS Sandhu,5.875,5.875,5.875,5.875,5.875,5.875,5.875,10.75,5.875,5.875,1,12.5,7.9
Gurkeerat Singh,5.408424908424908,5.408424908424908,5.408424908424908,5.408424908424908,5.408424908424908,5.408424908424908,5.408424908424908,7.071428571428571,7.153846153846153,5.408424908424908,2,13.455433455433457,8.873260073260074
Harbhajan Singh,8.129032258064516,6.08955223880597,6.916167664670657,6.823170731707318,6.967164179104479,6.502325581395349,6.517857142857141,7.702005730659025,8.040000000000001,6.534412955465587,10,12.57452710462513,11.544716262775077
Harmeet Singh,7.248022464271842,8.366197183098592,7.033112582781457,7.227272727272727,8.340425531914894,7.521126760563381,7.248022464271842,7.248022464271842,7.248022464271842,7.248022464271842,5,12.751977535728159,9.651186521436895
Harmeet Singh (2),4.58,4.58,4.58,4.58,4.58,8.16,4.58,4.58,4.58,4.58,1,15.42,9.652
HH Pandya,7.466501106996611,7.466501106996611,7.466501106996611,7.466501106996611,7.466501106996611,7.466501106996611,7.466501106996611,9.981308411214954,8.773584905660378,8.11111111111111,3,11.044665190671186,7.8267991144027125
HV Patel,8.508616645538243,8.508616645538243,8.508616645538243,8.508616645538243,8.481927710843374,8.508616645538243,9.971830985915492,7.477941176470588,9.8,10.32,5,10.800686274509804,8.480411764705883
I Malhotra,12.0,12.0,12.0,23.0,12.0,12.0,12.0,12.0,12.0,12.0,1,8.0,5.2
I Sharma,7.849624060150376,6.733333333333333,9.075,7.069090909090909,8.638910151091398,7.55614973262032,8.911764705882353,10.85393258426966,9.34020618556701,10.0,9,9.93528707672111,9.561172246032665
IC Pandey,7.506582633053221,7.506582633053221,7.506582633053221,7.506582633053221,7.506582633053221,12.0,7.788235294117647,7.238095238095237,7.506582633053221,7.506582633053221,3,12.582913165266106,8.749747899159663
IK Pathan,6.446428571428571,7.605095541401274,9.0,7.354166666666666,7.819672131147541,7.447619047619048,8.708333333333332,8.400631529159643,7.625,13.0,9,10.32478949028012,9.794873694168071
Imran Tahir,7.427173007994602,7.427173007994602,7.427173007994602,7.427173007994602,7.427173007994602,7.427173007994602,8.061068702290076,8.590909090909092,8.721649484536082,7.762237762237763,4,11.641734554105687,8.585040732463412
Iqbal Abdulla,7.333333333333334,7.841192979510829,7.294117647058822,6.157377049180328,6.582089552238806,7.539823008849558,9.0,7.438016528925621,8.361290322580645,9.705882352941178,9,11.498270265184185,10.49896215911051
J Botha,6.603072580187771,6.08,6.603072580187771,6.63013698630137,7.266932270916335,6.705882352941177,6.603072580187771,7.935483870967741,6.603072580187771,6.603072580187771,5,12.952790322885573,9.771674193731343
J Suchith,7.923689978083285,7.923689978083285,7.923689978083285,7.923689978083285,7.923689978083285,7.923689978083285,7.923689978083285,8.485355648535565,13.28571428571429,7.923689978083285,2,10.101746695888954,6.861048017533372
J Syed Mohammad,7.388022142898362,7.388022142898362,7.388022142898362,8.43956043956044,9.209302325581396,8.903225806451612,7.388022142898362,7.388022142898362,7.388022142898362,7.388022142898362,3,12.611977857101639,8.767186714260983
J Theron,6.993269946732345,6.993269946732345,7.746835443037975,6.993269946732345,7.764705882352942,6.993269946732345,6.993269946732345,9.461538461538462,6.993269946732345,6.993269946732345,3,12.183973881665615,8.510384328999368
J Yadav,5.3318421443421435,5.3318421443421435,5.3318421443421435,5.3318421443421435,5.3318421443421435,5.3318421443421435,5.3318421443421435,4.142857142857142,7.211538461538462,6.972972972972972,3,13.89087714087714,9.534526284526285
JA Morkel,8.01290322580645,7.951807228915663,8.338983050847459,8.357142857142858,7.466666666666666,6.724832214765101,7.544554455445543,9.162162162162161,11.64705882352941,8.420611068528132,9,10.256722648593433,9.75403358915606
Jaskaran Singh,7.1220442410373765,10.10526315789474,9.26086956521739,7.1220442410373765,7.1220442410373765,7.1220442410373765,7.1220442410373765,7.1220442410373765,7.1220442410373765,7.1220442410373765,2,12.877955758962624,8.526773455377574
JD Ryder,6.975523826742284,6.980769230769232,6.975523826742284,7.595744680851064,10.32558139534884,6.975523826742284,6.975523826742284,6.975523826742284,6.975523826742284,6.975523826742284,3,13.024476173257714,9.01468570395463
JD Unadkat,9.326160038076575,9.326160038076575,8.225806451612902,8.162162162162163,10.66666666666667,7.48494983277592,8.825396825396826,10.0,15.47368421052631,7.096774193548388,8,9.1431805319751,8.68590831918506
JDP Oram,8.94,8.872340425531915,7.954775777414075,11.5,7.954775777414075,6.461538461538462,7.954775777414075,7.954775777414075,7.954775777414075,7.954775777414075,4,12.045224222585926,8.827134533551554
JDS Neesham,5.55263157894737,5.55263157894737,5.55263157894737,5.55263157894737,5.55263157894737,5.55263157894737,10.10526315789474,5.55263157894737,5.55263157894737,5.55263157894737,1,14.44736842105263,9.068421052631578
JE Taylor,4.606557377049181,4.606557377049181,4.606557377049181,8.213114754098362,4.606557377049181,4.606557377049181,4.606557377049181,4.606557377049181,4.606557377049181,4.606557377049181,1,15.393442622950818,9.636065573770491
JEC Franklin,6.548654244306419,6.548654244306419,6.548654244306419,9.428571428571429,8.217391304347826,6.548654244306419,6.548654244306419,6.548654244306419,6.548654244306419,6.548654244306419,2,13.45134575569358,8.870807453416148
JH Kallis,9.156398104265403,7.515570934256056,8.297142857142857,6.8,7.321428571428572,7.422492401215806,8.64179104477612,7.769352989135602,7.769352989135602,7.769352989135602,7,12.230647010864399,10.138388206518638
JJ Bumrah,8.105744115604066,8.105744115604066,8.105744115604066,8.105744115604066,8.105744115604066,9.866666666666667,7.487804878048781,11.26530612244898,7.695652173913043,7.319034852546917,5,11.24000228369702,8.74400137021821
JJ van der Wath,5.789473684210525,5.789473684210525,5.789473684210525,10.57894736842105,5.789473684210525,5.789473684210525,5.789473684210525,5.789473684210525,5.789473684210525,5.789473684210525,1,14.210526315789476,8.926315789473685
